EN,NL,type,misc
destitute,noodlijdend,adj,
destitute,onvermogend,adj,
destitute,straatarm,adj,
destrier [archaic],krijgsros {het},noun,
destroyed,verwoest,adj past-p,
destruction,afbraak {de},noun,
destruction,ondergang {de},noun,
destruction,vernietiging {de},noun,
destructive,destructief,adj,
destructive,vernietigend,adj,
detachable,afneembaar,adj,
detached,afstandelijk,adj,
detached house,vrijstaand huis {het},noun,[archi.] [RealEst.] 
detached,vrijstaand,adj,[archi.] [RealEst.] 
detachment,afdeling {de},noun,[mil.] 
detachment,onpartijdigheid {de},noun,
detachment [aloofness],onthechting {de},noun,
detachment [behaviour],gereserveerdheid {de},noun,
detachment [separation from something],losraking {de},noun,
detail,bijzonderheid {de},noun,
detailed,gedetailleerd,adj,
detailed,uitvoerig,adj,
details,bijzonderheden {mv},noun,
detectable,detecteerbaar,adj,
detection,detectie {de},noun,
detective,detective {de},noun,[jobs] 
detective novel,detectiveroman {de},noun,[lit.] 
detective novels,detectiveromans {mv},noun,[lit.] 
detectives,detectives {mv},noun,[jobs] 
detective stories,detectiveverhalen {mv},noun,[lit.] 
detective story,detectiveverhaal {het},noun,[lit.] 
detention,arrest {het},noun,
detergent,afwasmiddel {het},noun,
detergent,wasmiddel {het},noun,
deterioration,verergering {de},noun,
deterioration,verloedering {de},noun,
deterioration,verslechtering {de},noun,
determinant,determinant {de},noun,[math.] 
determination [discovery],vaststelling {de},noun,
determined,vastbesloten,adj,
deterrent,afschrikking {de},noun,
detour,omleiding {de},noun,
detours,omleidingen {mv},noun,
detoxication,ontgifting {de},noun,
detrimental,nadelig,adj,
detriment,nadeel {het},noun,
Detroit,Detroit {het},noun,[geogr.] 
deus ex machina,deus ex machina {de},noun,[lit.] [theatre] 
deuterostomes,nieuwmondigen {mv} [superstam Deuterostomia],noun,[zool.] [T] 
devastated,verwoest,adj past-p,
devastating,vernietigend,adj pres-p,
devastating,verwoestend,adj pres-p,
devastation,ravage {de},noun,
devastation,vernieling {de},noun,
devastation,verwoesting {de},noun,
developable,ontwikkelbaar,adj,
developed,ontwikkeld,adj past-p,
developement,ontwikkeling {de},noun,
developer,ontwikkelaar {de},noun,
developers,ontwikkelaars {mv},noun,
developing area,nieuwbouwgebied {het},noun,[constr.] [urban] [RealEst.] 
developing countries,ontwikkelingslanden {mv},noun,
developing country,ontwikkelingsland {het},noun,
developmental biology,ontwikkelingsbiologie {de},noun,[biol.] [acad.] 
developmental possibility,ontwikkelingsmogelijkheid {de},noun,
developmental psychologist,ontwikkelingspsycholoog {de},noun,[psych.] [jobs] 
developmental risk,ontwikkelingsrisico {de} {het},noun,[biol.] 
development area,nieuwbouwgebied {het},noun,[constr.] [urban] [RealEst.] 
development bank,ontwikkelingsbank {de},noun,[fin.] 
development model,ontwikkelingsmodel {het},noun,
development of labor costs [Am.],loonkostenontwikkeling {de},noun,[econ.] 
development of labour costs [Br.],loonkostenontwikkeling {de},noun,[econ.] 
development of wages,loonontwikkeling {de},noun,[econ.] [jobs] 
development,ontwikkeling {de},noun,
development product,ontwikkelingsproduct {het},noun,[comp.] [econ.] 
development risk,ontwikkelingsrisico {de} {het},noun,[biol.] [tech.] 
developments,ontwikkelingen {mv},noun,
deviation,afwijking {de},noun,
device,toestel {het},noun,
devil,duivel {de},noun,
devil firefish,Indische koraalduivel {de} [Pterois miles],noun,[T] [fish] 
devious,slinks,adj,
devoted,gewijd,adj past-p,
devoted,toegewijd,adj,
devotion,toewijding {de},noun,
devout,godsdienstig,adj,[relig.] 
devoutly,vroom,adv,
devoutness,godsdienstigheid {de},noun,[relig.] 
devout,vroom,adj,
devout [pious],godvruchtig,adj,
dew,dauw {de},noun,
dewdrop,dauwdruppel {de},noun,
dew moth,tijgerbeertje {het} [Setina irrorella] [nachtvlindersoort],noun,[entom.] [T] 
dew point,dauwpunt {het},noun,[meteo.] 
dewy ringlet [butterfly],gewone dauwerebia {de} [dagvlinder],noun,[entom.] [T] 
dextro-,dextro-,prefix,[chem.] 
dextrose,dextrose {de},noun,
dextrose,druivensuiker {de},noun,
Dhaka,Dhaka {het},noun,[geogr.] 
Dhaulagiri,Dhaulagiri {de},noun,[geogr.] 
diabetes,diabetes {de},noun,[med.] 
diabetes,suikerziekte {de},noun,[med.] 
diabetic,diabeticus {de},noun,[med.] 
diabetic,suikerpatiënt {de},noun,
diabetic,suikerziek,adj,[med.] 
diabetic,suikerzieke {de},noun,
diadem,diadeem {de} {het},noun,
diaeresis [Br.],trema {het},noun,[ling.] 
diagnosis,diagnose {de},noun,
diagnostics [treated as sg.],diagnostiek {de},noun,
dialect atlas,dialectatlas {de},noun,[publ.] [ling.] 
dialect,dialect {het},noun,
dialect dictionary,dialectwoordenboek {het},noun,[publ.] [ling.] 
dialog partner [Am.],gesprekspartner {de},noun,
dialogue,dialoog {de},noun,
dialogue partner,gesprekspartner {de},noun,
dialog [Am.],dialoog {de},noun,
dialysis,dialyse {de},noun,[med.] 
diameter,diameter {de},noun,
diamondback moth,koolmot {de} [Plutella xylostella],noun,[entom.] [T] 
diamond,diamant {de} [edelsteen],noun,
diamond,diamant {het},noun,[mineral.] 
diamond merchant,diamanthandelaar {de},noun,[comm.] [jobs] 
diamond mine,diamantmijn {de},noun,[mining] 
diamond trade,diamanthandel {de},noun,[comm.] 
diaper [Am.],luier {de},noun,
diaphragm,middenrif {het},noun,
diaphragm,vlies {het},noun,
diaries,dagboeken {mv},noun,
diarrhea [Am.],buikloop {de},noun,
diarrhea [Am.],diarree {de},noun,
diarrhea [Am.],racekak {de} [vulg.],noun,
diarrhea [Am.],slingerschijt {de} [vulg.],noun,
diarrhoea [Br.],buikloop {de},noun,[med.] 
diary,dagboek {het},noun,
diary form,dagboekvorm {de},noun,[lit.] 
dice,dobbelsteen {de},noun,
dice snake,dambordslang {de} [Natrix tessellata],noun,[T] [zool.] 
dice snake,dobbelsteenslang {de} [Natrix tessellata],noun,[T] [zool.] 
dicey [coll.],gevaarlijk,adj,
dicey [coll.],link [riskant],adj,
dicey [coll.],riskant,adj,
dice {pl},dobbelstenen {mv},noun,
dichlorine monoxide,dichloormonoxide {het} [Cl₂O],noun,[chem.] 
dicotyledonous,tweezaadlobbig,adj,[bot.] 
dictation,dictee {het},noun,
dictator,dictator {de},noun,
dictatorship,dictatorschap {het},noun,[pol.] 
dictatorship,dictatuur {de},noun,[pol.] 
dictionaries,woordenboeken {mv},noun,
dictionary,woordenboek {het},noun,
diction,dictie {de},noun,
dieresis [Am.],trema {het},noun,[ling.] 
diesel engine,dieselmotor {de},noun,[tech.] 
diesel price,dieselprijs {de},noun,[econ.] [transp.] [traffic] 
dietary fiber {sg} [Am.],ballaststoffen {mv},noun,[FoodInd.] 
dietary fibre {sg} [Br.],ballaststoffen {mv},noun,[FoodInd.] 
diet,dieet {het},noun,
die [dice],dobbelsteen {de},noun,
diffeomorphism,diffeomorfisme {het},noun,[math.] 
difference in size,grootteverschil {het},noun,
difference,onderscheid {het},noun,
difference,verschil {het},noun,
different from,anders dan,adj,
differentiable,differentieerbaar,adj,
differential geometry,differentiaalmeetkunde {de},noun,[math.] 
differently,verschillend,adv,
different,onderscheiden,adj,
different,verschillend,adj,
difficulties,moeilijkheden {mv},noun,
difficult,lastig,adj,
difficult,moeilijk,adj,
difficulty in breathing,benauwdheid {de} [dyspneu],noun,[med.] 
difficulty,lastigheid {de},noun,
difficulty,moeilijkheid {de},noun,
difficulty,moeite {de},noun,
difficult [complicated],gecompliceerd,adj,
diffuse,diffuus,adj,
diffusion time,diffusietijd {de},noun,[phys.] 
digestion,digestie {de},noun,
digestion,spijsvertering {de},noun,[med.] 
Digging to America [Anne Tyler],Thuiskomen,,[F] [lit.] 
digital camera,digitale camera {de},noun,[photo.] 
digital,digitaal,adj,
digitally,digitaal,adv,
digital radio,digitale radio {de},noun,
digital world,digitale wereld {de},noun,
digit,cijfer {het},noun,
dignified,waardig,adj,
dignity,waardigheid {de},noun,
digression,digressie {de},noun,
Dijkstra's algorithm,Dijkstra's algoritme {het},noun,[comp.] [geogr.] [math.] 
dike,dijk {de},noun,
dike [sl.] [lesbian],pot {de} [omg.] [lesbienne],noun,
dilapidated,bouwvallig,adj,[constr.] 
dilapidated,vervallen,adj,[constr.] 
dilemma,dilemma {het},noun,
diligence,ijver {de},noun,
diligence,vlijt {de},noun,
diligence,zorgzaamheid {de},noun,
diligent,ijverig,adj,
diligently,ijverig,adv,
diligently,vlijtig,adv,
diligent,vlijtig,adj,
dimension,dimensie {de},noun,
diminution,afname {de},noun,
diminutive,verkleinwoord {het},noun,[ling.] 
dimmable,dimbaar,adj,
dim,mat,adj,
dimmed beam [Am.],dimlicht {het},noun,[automot.] 
dimmed headlights {pl} [Am.],dimlicht {het},noun,[automot.] 
dimple,kuiltje {het},noun,
dimples,kuiltjes {mv},noun,
dinar,dinar {de},noun,[curr.] 
dinars,dinars {mv},noun,[curr.] 
diner [customer in a restaurant],restaurantbezoeker {de},noun,[gastr.] 
dining room chair,eetkamerstoel {de},noun,[furn.] 
dining room door,eetkamerdeur {de},noun,
dining room,eetkamer {de},noun,
dining room,eetzaal {de},noun,
dining rooms,eetkamers {mv},noun,
dining rooms,eetzalen {mv},noun,
dining table,eettafel {de},noun,[furn.] 
dining table,etenstafel {de},noun,[furn.] 
Dinner at the Homesick Restaurant [Anne Tyler],Het heimweerestaurant,,[F] [lit.] 
dinner,avondeten {het},noun,
dinner,avondmaal {het},noun,
dinner,diner {het} [avondeten],noun,
dinner,hoofdmaaltijd {de},noun,
dinner jacket,colbert {de} {het},noun,[cloth.] 
dinner [evening meal],avondmaaltijd {de},noun,[gastr.] 
dinoflagellates {pl},dinoflagellaten {mv} [Dinophyta/Dinoflagellata],noun,[T] [zool.] 
dinosaur,dinosauriër {de},noun,[zool.] [T] 
dinosaur,dinosaurus {de},noun,[zool.] [T] 
diode,diode {de},noun,[electr.] 
Dionysus,Dionysos {de},noun,[myth.] [relig.] 
diopside,diopsied {het},noun,[mineral.] 
dip,dipsaus {de},noun,[gastr.] 
diphtheria,difterie {de},noun,[med.] 
diphthong,diftong {de},noun,[phonet.] [ling.] 
diplomacy,diplomatie {de},noun,
diploma,diploma {het},noun,
diplomat,diplomaat {de},noun,
diplomatically,diplomatiek,adv,
diplomatically,diplomatisch,adv,
diplomatic,diplomatiek,adj,
diplomatic,diplomatisch,adj,
dipped beam [Br.],dimlicht {het},noun,[automot.] 
dipped headlights {pl} [Br.],dimlicht {het},noun,[automot.] 
dipsomania,drankzucht {de},noun,
dip [incline],helling {de},noun,
direct current <DC>,gelijkstroom {de},noun,
direct democracy,directe democratie {de},noun,[pol.] 
direction,aanwijzing {de},noun,
direction,richting {de},noun,
directions,aanwijzingen {mv},noun,
directions {pl} [instructions on how to reach a destination],wegbeschrijving {de},noun,
directly,recht,adv,
directly,rechtstreeks,adv,
directly [right away],dadelijk,adv,
director's chair,regisseursstoel {de},noun,[film] [furn.] 
director,directeur {de},noun,
director [female],regisseuse {de},noun,[film] [theatre] [jobs] 
direct,rechtstreeks,adj,
dirge [mournful song],klaaglied {het},noun,[mus.] 
Dirt Music [Tim Winton],Over de rand van de wereld,,[F] [lit.] 
dirt,vuil {het},noun,
dirty,groezelig,adj,
dirty,smerig,adj,
dirty,vies,adj,
dirty,vuil,adj,
disability,belemmering {de},noun,
disability football [Br.],gehandicaptenvoetbal {het},noun,[sports] 
disability,handicap {de},noun,
disability soccer [Am.],gehandicaptenvoetbal {het},noun,[sports] 
disabled,mindervalide,adj,
disabled sports {pl},gehandicaptensport {de},noun,[sports] 
disabled toilet [Br.],gehandicaptentoilet {het},noun,
disabled veteran [Am.],oorlogsinvalide {de},noun,[mil.] 
disabled [handicapped],gehandicapt,adj,
disadvantaged neighborhoods [Am.],achterstandswijken {mv},noun,
disadvantage,nadeel {het},noun,
disadvantageous,nadelig,adj,
disagreement,geschil {het},noun,
disagreement,onenigheid {de},noun,
disappointed,ontgoocheld,adj past-p,
disappointing,teleurstellend,adj pres-p,
disappointment,misrekening {de},noun,
disappointment,ontgoocheling {de},noun,
disappointments,ontgoochelingen {mv},noun,
disappointment,tegenvaller {de},noun,
disappointment,teleurstelling {de},noun,
disapproving,afkeurend,adj pres-p,
disarmament,ontwapening {de},noun,[mil.] [pol.] 
disaster area,rampgebied {het},noun,
disaster,catastrofe {de},noun,
disaster,onheil {het},noun,
disaster,ramp {de},noun,
disaster recovery,ramp herstel {het},noun,[comp.] 
disaster recovery,ramp recovery {de},noun,[comp.] 
disasters,onheilen {mv},noun,
disasters,rampen {mv},noun,
disastrously,noodlottig,adv,
disastrous,noodlottig,adj,
disastrous,rampzalig,adj,
disbelief,ongeloof {het},noun,
disbelieving,ongelovig,adj,
disc brakes,schijfremmen {mv},noun,
discernment,doorzicht {het},noun,
disc fibula,schijffibula {de},noun,[archaeo.] 
discharge head,opvoerhoogte {de},noun,
discharge,ontlading {de},noun,
discharges,ontladingen {mv},noun,
discharge,uitstoot {de},noun,
disciple,volgeling {de},noun,[bibl.] 
disciplinary action,disciplinaire straf {de},noun,
disciplinary action,tuchtmaatregel {de},noun,
disciplinary measure,disciplinaire straf,noun,
disciplinary measure,tuchtmaatregel {de},noun,
disciplined,disciplineert,adj past-p,
disciplined,gedisciplineerd,adj past-p,
disclosure,onthulling {de},noun,
disclosure,openbaarmaking {de},noun,
disclosure,openlegging {de},noun,
disco,disco {de},noun,
discomfort,ongemak {het},noun,
discomforts,ongemakken {mv},noun,
disco music,discomuziek {de},noun,[mus.] 
disconcerted,ontdaan,adj,
disconnect,ontkoppelen,verb,
disconsolate,mistroostig,adj,
disconsolate,zielsbedroefd,adj,
discontented,ontevreden,adj,
discontent,ontevredenheid {de},noun,
discord,onenigheid {de},noun,
discount,korting {de},noun,
discouraged,ontmoedigd,adj past-p,
discoverer,ontdekker {de},noun,
discoverers,ontdekkers {mv},noun,
discoveries,ontdekkingen {mv},noun,
discovery,ontdekking {de},noun,
discreet,discreet,adj,
discreetly,discreet,adv,
discrepancy,discrepantie {de},noun,
discrete mathematics [treated as sg.],discrete wiskunde {de},noun,[math.] 
discretion,discretie {de},noun,
discriminable,onderscheidbaar,adj,
discrimination against women,vrouwendiscriminatie {de},noun,[sociol.] 
discrimination,discriminatie {de},noun,
discus,discus {de},noun,[sports] 
discussion,bespreking {de},noun,
discussion,debat {het},noun,
discussion,discussie {de},noun,
discussion forum,discussieforum {het},noun,
discussion forums,discussiefora {mv},noun,
discussion,gesprek {het},noun,
discussion partner,discussiepartner {de},noun,
discus throw,discuswerpen {het},noun,[sports] 
discus thrower [female],discuswerpster {de},noun,[sports] 
disdainfully,minachtend,adv,
disdainful,minachtend,adj,
disease,aandoening {de},noun,
disease of the kidneys,nierziekte {de},noun,[med.] 
disease risk,ziekterisico {de} {het},noun,[med.] 
disease,ziekte {de},noun,
disgrace,blamage {de},noun,
disgracefully,schandalig,adv,
disgraceful,schandalig,adj,
disgrace,schande {de},noun,
disgust,afkeer {de},noun,
disgust,afschuw {de},noun,
disgust,hekel {de},noun,
disgusting,smerig,adj,
disgusting,walgelijk,adj,
dish detergent,afwasmiddel {het},noun,
"dishes [food, not dinnerware]",gerechten {mv},noun,
dishes {pl},servies {het},noun,
disheveled [Am.],slonzig,adj,
dish,gerecht {het},noun,
dishonestly,oneerlijk,adv,
dishonest,oneerlijk,adj,
dishonesty,oneerlijkheid {de},noun,
dish,schaal {de},noun,
dish,schotel {de},noun,
dish scrubber,afwasborstel {de},noun,
dish soap [Am.],afwasmiddel {het},noun,
dishwashers,vaatwasmachines {mv},noun,
dishwashers,vaatwassers {mv},noun,
dishwasher,vaatwasmachine {de},noun,
dishwasher,vaatwasser {de},noun,
dishwasher [machine],afwasautomaat {de},noun,
dishwasher [machine],afwasmachine {de},noun,
dishwater,afwaswater {het},noun,
disillusioned,gedesillusioneerd,adj,
disinfected,gedesinfecteerd,adj past-p,
disinformation,desinformatie {de},noun,
disk fibula,schijffibula {de},noun,[archaeo.] 
dislike,afkeer {de},noun,
dismal,ellendig,adj,
dismal,naargeestig,adj,
dismal,somber,adj,
dismantling,demontage {de},noun,
"dismantling [buildings, scaffolds, etc.]","afbraak {de} [gebouwen, stellingen, enz.]",noun,
dismaying,ijzingwekkend,adj,
dismay,verslagenheid {de},noun,
dismissed,afgewezen,adj past-p,
dismountable,uitneembaar,adj,
disobedience,ongehoorzaamheid {de},noun,
disobedient,ongehoorzaam,adj,
disorderly,ongeregeld,adj adv,
disorder,wanorde {de},noun,
disorganized,ongeregeld,adj,
dispatch department,verzendafdeling {de},noun,
dispensary [hospital pharmacy],ziekenhuisapotheek {de},noun,
dispersed,uiteen gedreven,adj past-p,
dispersed,verspreid,adj past-p,
dispersed,verstrooid,adj past-p,
dispersion,verspreiding {de},noun,
displacement,waterverplaatsing {de},noun,[naut.] 
display,beeldscherm {het},noun,
display,vertoon {het},noun,
displeasure,ongenoegen {het},noun,
disposable bottle,wegwerpfles {de},noun,
disposable camera,wegwerpcamera {de},noun,[photo.] 
disposable product,wegwerpproduct {het},noun,[ecol.] 
disposable,wegwerp-,prefix adj,
disposable,wegwerpbaar,adj,
disposal,afhandeling {de},noun,
disposal,afvoer {de},noun,
disposal,storting {de} van afval,noun,
dispute,conflict {het},noun,
disputed,betwist,adj past-p,
dispute,dispuut {het},noun,
dispute,onenigheid {de},noun,
dispute,ruzie {de},noun,
disputes,disputen {mv},noun,
disqualification,diskwalificatie {de},noun,
disrespectfully,oneerbiedig,adv,
disrespectful,oneerbiedig,adj,
disruptive,verstorend,adj,
dissatisfaction,ongenoegen {het},noun,
dissatisfaction,onvrede {de},noun,
dissatisfied,ontevreden,adj,
dissemination,verspreiding {de},noun,
dissident,dissident {de},noun,
distance,afstand {de},noun,
distance,distantie {de},noun,
distance,eind {het} [omg.],noun,
distance,verte {de},noun,
distant,ver,adj,
distinct,duidelijk,adj,
distinction,onderscheiding {de} [ordeteken],noun,
distinction,onderscheid {het},noun,
"distinction [difference, contrast]",verschil {het},noun,
distinguishable,onderscheidbaar,adj,
distinguishably,onderscheidbaar,adv,
distinguished,deftig,adj,
distinguished,gedistingeerd,adj,
distinguished,voornaam,adj,
distraction,verzetje {het},noun,
distraught,radeloos,adj,
distress,nood {de},noun,
distributed,uitgereikt,adj past-p,
distribution,distributie {de},noun,
distribution of income,inkomensverdeling {de},noun,[econ.] [sociol.] [jobs] 
distribution,uitreiking {de},noun,
distribution,verspreiding {de},noun,
distributor [of goods etc.],distributeur {de},noun,
district <dist.>,district {het},noun,
district,kanton {het},noun,
district,stadsdeel {het},noun,
district,wijk {de},noun,
distrusting,wantrouwend,adj pres-p,
distrust,wantrouwen {het},noun,
disturbance,storing {de},noun,
disturbed,gestoord,adj past-p,
disturbing,onrustbarend,adj pres-p,
disturbing,schrikaanjagend,adj pres-p,
disturbing,verontrustend,adj pres-p,
disunity,onenigheid {de},noun,
disused,in onbruik geraakt,adj,
ditch,greppel {de},noun,
ditch,sloot {de},noun,
diurnal rhythm,dagritme {het},noun,[biol.] 
divan,divan {de},noun,[furn.] 
dive,duik {de},noun,
diver,duiker {de},noun,[sports] 
diverse,divers,adj,
diversion,afleiding {de},noun,
diversionary attack,afleidingsaanval {de},noun,[mil.] 
diversion,vermaak {het},noun,
diversion,verzetje {het},noun,
diversity,verscheidenheid {de},noun,
diverted,omgelegd,adj past-p,
dividing line,scheidingslijn {de},noun,
diviner,toekomstvoorspeller {de},noun,
divine service,kerkdienst {de},noun,[relig.] 
diving school,duikschool {de},noun,[educ.] [sports] 
diving [from a diving board],schoonspringen {het},noun,[sports] 
divining rod,wichelroede {de},noun,
divinity,godheid {de},noun,[relig.] 
divisible [by],deelbaar [door],adj,
division,afdeling {de},noun,
division,indeling {de},noun,
division,onderdeel {het},noun,
divorced,gescheiden [huwelijk],adj past-p,
divorce,scheiding {de},noun,
dizzy,draaierig,adj,
dizzy,duizelig,adj,
Djiboutian,Djiboutiaans,adj,
Djiboutian,Djiboutiaan {de},noun,[ethn.] 
Djiboutians,Djiboutianen {mv},noun,[ethn.] 
Djiboutian [female],Djiboutiaanse {de},noun,[ethn.] 
Djibouti,Djibouti {het},noun,[geogr.] 
do-it-yourself <DIY> [attr],doe-het-zelf-,prefix adj,
Dobruja,Dobroedzja {het},noun,[geogr.] 
dock bug,"fluweelbruine randwants {de} [Coreus marginatus, syn.: Cimex marginatus]",noun,[entom.] [T] 
dock bug,"lederwants {de} [Coreus marginatus, syn.: Cimex marginatus]",noun,[entom.] [T] 
dock bug,"zuringrandwants {de} [Coreus marginatus, syn.: Cimex marginatus]",noun,[entom.] [T] 
dock bug,"zuringwants {de} [Coreus marginatus, syn.: Cimex marginatus]",noun,[entom.] [T] 
dock,dok {het},noun,[naut.] 
docker,havenwerker {de},noun,[naut.] [jobs] 
dockland [Br.],havenwijk {de},noun,[urban] 
dockside crane,havenkraan {de},noun,[naut.] [tech.] 
dockworker,havenarbeider {de},noun,[jobs] 
dock worker,havenwerker {de},noun,[naut.] [jobs] 
dockworkers,havenarbeiders {mv},noun,[jobs] 
doctor,arts {de},noun,
doctorate,doctorsgraad {de},noun,[educ.] 
doctor,dokter {de},noun,[jobs] 
doctor,geneesheer {de},noun,
doctors,artsen {mv},noun,[med.] [jobs] 
doctor team,artsenteam {het},noun,[med.] 
documentation,documentatie {de},noun,
document,document {het},noun,
document for exportation,exportdocument {het},noun,[admin.] [comm.] 
document for importation,invoerdocument {het},noun,[admin.] [comm.] 
dodecagon,twaalfhoek {de},noun,[math.] 
dog's snout,hondensnoet {de},noun,
dog's snout,hondensnuit {de},noun,
dog's tail,hondenstaart {de},noun,
dog beach,hondenstrand {het},noun,[TrVocab.] 
dog bite,hondenbeet {de},noun,
dog breeder,hondenfokker {de},noun,[jobs] 
dog breed,hondenras {het},noun,
dog flea,hondenvlo {de} [Ctenocephalides canis],noun,[entom.] [T] 
dog food,hondenvoer {het},noun,
dog friend,hondenvriend {de},noun,
dogged,hardnekkig,adj,
doggedness,hardnekkigheid {de},noun,
dog,hond {de},noun,[zool.] [T] 
dog house [Am.],hondenhok {het},noun,
dog leash [Am.],hondenriem {de},noun,
dog lover,hondenliefhebber {de},noun,
dog lover,hondenvriend {de},noun,
dogma,dogma {het},noun,[relig.] 
dog obedience school,hondenschool {de},noun,
dog owner,hondenbezitter {de},noun,
dog owner,hondeneigenaar {de},noun,
dog poop [coll.],hondenpoep {de} [omg.],noun,
dog pound,hondenasiel {het},noun,
dog psychologist,hondenpsycholoog {de},noun,[psych.] [jobs] 
dogs,honden {mv},noun,[zool.] [T] 
dog show,hondententoonstelling {de},noun,
dog sledge [esp. Br.],hondenslee {de},noun,
dog sled,hondenslee {de},noun,
dog tax,hondenbelasting {de},noun,
dog veterinarian [Am.],hondendokter {de},noun,[VetMed.] [jobs] 
dog waste bag,hondenpoepzakje {het} [verkl.],noun,
dog whistle,hondenfluitje {het} [verkl.],noun,
Doha,Doha {het},noun,[geogr.] 
doll's bed,poppenbed {het},noun,[toys] 
doll's house,poppenhuis {het},noun,
dollar,dollar {de},noun,[curr.] 
dollars,dollars {mv},noun,[curr.] 
dollhouse [Am.],poppenhuis {het},noun,
doll,pop {de},noun,
dolphin,dolfijn {de},noun,[zool.] [T] 
dolphins,dolfijnen {mv},noun,[zool.] [T] 
domain,domein {het},noun,
domed,overkoepeld,adj past-p,[archi.] 
dome,koepel {de},noun,[archi.] 
domestic,binnenlands,adj,
domestic flight,binnenlandse vlucht {de},noun,[aviat.] 
domestic,huiselijk,adj,
domestic,huishoudelijk,adj,
domesticity,huiselijkheid {de},noun,
domestic market,thuismarkt {de},noun,[econ.] 
dominant,dominant,adj,
dominant gene,dominant gen {het},noun,[biol.] 
dominantly,dominant,adv,
dominated,gedomineerd,adj past-p,
domination,overheersing {f},noun,
domineering [pej.],heerszuchtig [pej.],adj,
Dominica,Dominica {het},noun,[geogr.] 
Dominican gull,kelpmeeuw {de} [Larus dominicanus],noun,[orn.] [T] 
Dominican peso <DOP>,Dominicaanse peso {de} <DOP>,noun,[curr.] 
Dominican Republic,Dominicaanse Republiek {de},noun,[geogr.] 
Dominican [of Dominica],Dominicaans,adj,
domino,dominosteen {de},noun,[games] 
domino theory,dominotheorie {de},noun,[hist.] [mil.] 
Don't bother!,Maak je geen zorgen!,,
Don't you dare!,Waag het niet!,,
Donaldson Smith's nightjar,doornstruiknachtzwaluw {de} [Caprimulgus donaldsoni],noun,[T] [orn.] 
donation of an organ,orgaandonatie {de},noun,[med.] 
donation,schenking {de},noun,
done,gedaan,adj past-p,
doner kebab,döner kebab {de},noun,[gastr.] 
done [fully cooked],gaar,adj,[gastr.] 
donkey,ezel {de},noun,[zool.] [T] 
donkey milk,ezelmelk {de},noun,[gastr.] 
doomed,gedoemd,adj past-p,
doorbell,deurbel {de},noun,
doorbell,huisbel {de},noun,
door,deur {de},noun,
door handle,deurknop {de},noun,
doorhandle,klink {de},noun,
doorman,portier {de},noun,
doormat,deurmat {de},noun,
door mirror [Br.],buitenspiegel {de},noun,[automot.] 
doorstep,drempel {de},noun,
door to the balcony,balkondeur {de},noun,
door [of a vehicle],portier {het},noun,[automot.] 
dope [coll.] [stupid person],sukkel {de},noun,
doping expert,dopingexpert {de},noun,[sports] 
doping test,dopingtest {de},noun,[sports] 
doppelgänger,dubbelganger {de},noun,
Dorado,Goudvis [sterrenbeeld],,[astron.] 
dorky,mallotig,adj,
dormer,dakkapel {de},noun,[archi.] 
dormouse lemur,kleine dwergmuismaki {de} [Microcebus myoxinus],noun,[zool.] [T] 
dorm [coll.] [dormitory],slaapzaal {de},noun,
dorsal stripe,aalstreep {de},noun,[zool.] 
Dortmund-Ems Canal,Dortmund-Eemskanaal {het},noun,[geogr.] [naut.] 
Dortmund,Dortmund {het},noun,[geogr.] 
dosage,dosering {de},noun,
dose,dosis {de},noun,
dot moth,perzikkruiduil {de} [Melanchra persicariae] [nachtvlindersoort],noun,[entom.] [T] 
dotted carpet [moth],baardmosspikkelspanner {de} [Alcis jubata],noun,[entom.] [T] 
dotted footman [moth],muisbeertje {het} [Pelosia muscerda] [nachtvlindersoort],noun,[entom.] [T] 
dotted loosestrife,puntwederik {de} [Lysimachia punctata],noun,[bot.] [T] 
double-trey,twee drieën {mv},noun,[games] 
double-wattled cassowary,helmkasuaris {de} [Casuarius casuarius],noun,[orn.] [T] 
double agent,dubbelagent {de},noun,[pol.] 
double bass,contrabas {de},noun,[mus.] 
double bed,tweepersoonsbed {het},noun,
double,dubbel,adj,
double exhibition,dubbeltentoonstelling {de},noun,
double line [moth],tweestreepgrasuil {de} [Mythimna turca] [nachtvlindersoort],noun,[entom.] [T] 
double portrait,dubbelportret {het},noun,[art] 
double room,tweepersoonskamer {de},noun,[TrVocab.] [travel] 
doubtful,twijfelachtig,adj,
doubt,onzekerheid {de},noun,
doubts,onzekerheden {mv},noun,
doubts,twijfels {mv},noun,
doubt,twijfel {de},noun,
douche [Am.] [vulg.],kwal {de} [pej.],noun,
dough ball,deegbal {de},noun,[gastr.] 
dough base,deegbodem {de},noun,[gastr.] 
dough,deeg {het},noun,[gastr.] 
doughnut [e.g. jam doughnut],berlinerbol {de},noun,[gastr.] 
doughnut [ring doughnut],donut {de},noun,[gastr.] 
dough [coll.] [money],poen {de} [omg.],noun,
Douglas's squirrel,douglaseekhoorn {de} [Tamiasciurus douglasii],noun,[zool.] [T] 
Douglas,Douglas {het},noun,[geogr.] 
Douglas squirrel [also: Douglas' squirrel],douglaseekhoorn {de} [Tamiasciurus douglasii],noun,[zool.] [T] 
dovekie [esp. Am.],kleine alk {de} [Alle alle],noun,[orn.] 
dove of peace,vredesduif {de},noun,
dovetail joint,zwaluwstaartverbinding {de},noun,[constr.] 
dovetail,zwaluwstaartverbinding {de},noun,[constr.] 
