RU,EN,type,misc
"Лучше синица в руках, чем журавль в небе.",A bird in the hand is worth two in the bush.,,[proverb] 
Люберцы {мн},Lyubertsy,noun,[geogr.] 
Любопытной Варваре (на базаре) нос оторвали.,Curiosity killed the cat.,,[proverb] 
Лёвен {м},Leuven,noun,[geogr.] 
Лёвен {м},Louvain,noun,[geogr.] 
М-теория {ж},M-theory,noun,[phys.] 
Маврикий {м},Mauritius <.mu>,noun,[geogr.] 
Мавритания {ж},Mauritania <.mr>,noun,[geogr.] 
"Мавр сделал свое дело, мавр может уходить. [из пьесы ”Заговор Фиеско в Генуе” Иоганна Фридриха Шиллера]","The Moor has done his duty, the Moor can go. [after: Fiesco's Conspiracy at Genoa]",,[idiom] [quote] 
Магнет {м},Magnes,noun,[myth.] 
Мадагаскар {м},Madagascar <.mg>,noun,[geogr.] 
Мадрид {м},Madrid,noun,[geogr.] 
Макаронезия {ж},Macaronesia,noun,[geogr.] 
Македония {ж},Macedonia <.mk>,noun,[geogr.] 
Малави {с} [нескл.],Malawi <.mw>,noun,[geogr.] 
Малайзия {ж},Malaysia <.my>,noun,[geogr.] 
Малая Медведица {ж},the Little / Lesser Bear,noun,[astron.] 
Малая Польша {ж},Lesser Poland,noun,[geogr.] [hist.] 
Малая Польша {ж},Little Poland,noun,[geogr.] [hist.] 
Малая Средне-дунайская низменность {ж},Little Hungarian Plain,noun,[geogr.] 
Малая Тартария {ж},Little Tartary,noun,[geogr.] [hist.] 
Маленький незнакомец [Сара Уотерс],The Little Stranger [Sarah Waters],,[F] [lit.] 
Мали {с} [нескл.],Mali <.ml>,noun,[geogr.] 
Малибу {м} [нескл.],Malibu,noun,[geogr.] 
Малороссия {ж},Little Russia,noun,[geogr.] [hist.] 
Мальта {ж},Malta,noun,[geogr.] 
Манила {ж},Manila,noun,
Манхэттен {м},Manhattan,noun,[geogr.] 
Манчестер {м},Manchester,noun,[geogr.] 
Маньчжурия {ж},Manchuria,noun,[geogr.] [hist.] 
Мария {ж},Mary,noun,[name] 
Марокко {с} [нескл.],Morocco <.ma>,noun,[geogr.] 
Марпесса {ж},Marpessa,noun,[myth.] 
Марракеш {м},Marrakech,noun,[geogr.] 
Марс {м} <♂> [планета],Mars <♂> [planet],noun,[astron.] 
Марсель {м},Marseilles,noun,[geogr.] 
Марсельеза {ж},Marseillaise,noun,[hist.] [mus.] 
Массачусетс {м} [штат США],"Massachusetts <MA> [Bay State, Old Colony State]",noun,[geogr.] 
Матвей {м},Matthew,noun,[name] 
Махаон {м},Machaon,noun,[myth.] 
Медея {ж},Medea,noun,[myth.] 
Медина {ж},Medina,noun,[geogr.] 
Медуза {ж},Medusa,noun,[myth.] 
Между нами все кончено! [разг.],It's all over between us! [coll.],,
Мезоамерика {ж},Mesoamerica,noun,[geogr.] [hist.] 
Мексика {ж},Mexico <.mx>,noun,[geogr.] 
Мексиканский залив {м},Gulf of Mexico,noun,[geogr.] 
Мелампод {м},Melampus,noun,[myth.] 
Меликерт {м},Melicertes,noun,[myth.] 
Мельбурн {м},Melbourne,noun,[geogr.] 
Мельпомена {м},Melpomene,noun,[myth.] 
Менелай {м},Menelaus,noun,[myth.] 
Ментор {м},Mentor,noun,[myth.] 
Меня зовут Иван.,My name is Ivan.,,
Меркурий {м},Mercury,noun,[astron.] [myth.] 
Месопотамия {ж},Mesopotamia,noun,[geogr.] [hist.] 
Мессия {м} [о Христе],Messiah [Christ],noun,[relig.] 
Местор {м},Mestor,noun,[myth.] 
Метида {ж},Metis,noun,[myth.] 
Мехико {м},Mexico City,noun,[geogr.] 
Мец {м},Metz,noun,[geogr.] 
Мидас {м},Midas,noun,[myth.] 
Микены {мн},Mycenae,noun,[hist.] 
Милан {м},Milan,noun,[geogr.] 
Мимо цели!,Wide of the mark!,,
Минерва {ж},Minerva,noun,[myth.] [relig.] 
Миний {м},Minyas,noun,[myth.] 
Министерство страха [Фриц Ланг],Ministry of Fear [Fritz Lang],,[F] [film] 
Минос {м},Minos,noun,[myth.] 
Минотавр {м},Minotaur,noun,[myth.] 
Минск {м},Minsk,noun,[geogr.] 
Минутку! [разг.],"One moment, please!",,
Минуточку! [разг.],"One moment, please!",,
Мирон {м} (из Елевфер),Myron (of Eleutherae),noun,[art] [hist.] 
Мирра {ж},Myrrha,noun,[myth.] 
Миртойское море {с},Myrtoan Sea [also: Mirtoan Sea],noun,[geogr.] 
Миссис Паркер и порочный круг [Алан Рудольф],Mrs. Parker and the Vicious Circle [Alan Rudolph],,[F] [film] 
Мичиган {м} [озеро],Lake Michigan,noun,[geogr.] 
Мичиган {м} [штат США],Michigan <MI>,noun,[geogr.] 
Мне 22 года.,I am 22 years old.,,
Мне всё равно.,I don't care.,,
Мне дурно.,I feel bad.,,
"Мне казалось, что ...",I was under the impression that ...,,
Мнемозина {ж},Mnemosyne,noun,[myth.] 
Мне недосуг. [разг.],I don't have any time.,,
Мне нравится заниматься спортом.,I enjoy doing sports.,,
"Мне отмщение, Аз воздам, глаголет Господь. [Рим. XII. 19]","Vengeance is mine; I will repay, saith the Lord. [Rom 12:19; KJV]",,[bibl.] [quote] 
Мне очень жаль.,I am sorry.,,
Мне похуй! [неценз.],I dont give a fuck! [vulg.],,
Мне хочется есть.,I'm hungry.,,
"Много будешь знать, скоро состаришься.",Curiosity killed the cat.,,[proverb] 
Много шума из ничего.,It's a lot of fuss about nothing.,,[idiom] 
Можно (мне) закурить?,May I smoke?,,
Можно мне ... ?,May I ... ?,,
Можно я возьму это с собой?,Can I take this with me?,,
Мозамбик {м},Mozambique <.mz>,noun,[geogr.] 
Мозамбикский пролив {м},Mozambique Channel,noun,[geogr.] 
Молдавия {ж},Moldova <.md>,noun,[geogr.] 
Молодец! [разг.],Well done!,,
Молуккское море {с},Molucca Sea,noun,[geogr.] 
Молчание [Ингмар Бергман],The Silence [Ingmar Bergman],,[F] [film] 
Молчание ягнят [роман: Томас Харрис; фильм: Джонатан Демми],The Silence of the Lambs [novel: Thomas Harris; film: Jonathan Demme],,[F] [lit.] [film] 
Молчи в тряпочку [Найл Джонсон],Keeping Mum [Niall Johnson],,[F] [film] 
Мом {м},Momus,noun,[myth.] 
Монголия {ж},Mongolia <.mn>,noun,[geogr.] 
Монреаль {м},Montreal,noun,[geogr.] 
Мопс {м},Mopsus,noun,[myth.] 
Морфей {м},Morpheus,noun,[myth.] 
Москва-река {ж},Moskva River,noun,[geogr.] 
Москва {ж},Moscow,noun,[geogr.] 
Московский Кремль {м},Moscow Kremlin,noun,[archi.] [UWH] 
Московский мул {м},Moscow mule,noun,[gastr.] 
Мосул {м},Mosul,noun,[geogr.] 
Моя очередь.,It's my turn.,,
Мраморное море {с},Sea of Marmara,noun,[geogr.] 
Мужество покинуло его.,Courage abandoned him.,,
Мы были бы очень рады ...,It would give us great pleasure ...,,
Мы это (как-нибудь) обтяпаем. [разг.],We'll work it out somehow.,,
Мы это уладим.,We'll work it out somehow.,,
Мюнхен {м},Munich,noun,[geogr.] 
Навплий {м},Nauplius,noun,[myth.] 
Навык мастера ставит.,Practice makes perfect.,,[proverb] 
Нагорная проповедь {ж},(the) Sermon on the Mount,noun,[bibl.] 
Над пропастью во ржи [Джером Дэвид Сэллинджер],The Catcher in the Rye [Jerome David Salinger],,[F] [lit.] 
На здоровье! [разг.],You're welcome. [in answer to thanks for food or refreshments],,
Намибия {ж},Namibia <.na>,noun,[geogr.] 
Нам это выгодно.,It's advantageous to us.,,
Нансеновский паспорт {м},Nansen passport,noun,[admin.] [pol.] 
Напишу-ка я ей письмо.,I think I'll write to her.,,
Нарцисс {м},Narcissus,noun,[myth.] 
На сегодня хватит.,Let's call it a day.,,
Наталия {ж},Natalie,noun,[name] 
Наталья {ж},Natalie,noun,[name] 
Национальный архив {м},National Archives {pl} [treated as sing.],noun,
Неаполь {м},Naples,noun,[geogr.] 
Не беспокойся об этом!,Don't worry about it!,,
Невский проспект {м},Nevsky Prospect,noun,[geogr.] [urban] [TrVocab.] 
"Не всё то золото, что блестит.",All that glitters is not gold.,,[proverb] 
Не дай Бог!,God forbid!,,
Не знаю.,Dunno. [sl.] [I don't know.],,
Неккар {м},Neckar,noun,[geogr.] 
Нелей {м},Neleus,noun,[myth.] 
Немезида {ж},Nemesis,noun,[myth.] 
Не могли бы Вы ...?,Would you mind ...?,,
"Не откладывай на завтра то, что можно сделать сегодня.",Procrastination is the thief of time.,,[proverb] 
Непал {м},Nepal <.np>,noun,[geogr.] 
Неправый прав [Ричард Брукс],The Man with the Deadly Lens [UK title] [Richard Brooks],,[F] [film] 
Неправый прав [Ричард Брукс],Wrong Is Right [Richard Brooks],,[F] [film] 
Нептун {м},Neptune,noun,[myth.] 
Нерей {м},Nereus,noun,[myth.] 
Не сдавайся!,Keep going! [Don't give up!],verb,
"Несмотря на то, что ...",Despite the fact that ...,,
Не стесняйтесь!,Don't be shy!,,
Не сто́ит об этом.,Don't mention it.,,
Не стоит (делать что-л.).,It's not worth (doing sth.).,,
Нестор {м},Nestor,noun,[myth.] 
Не суй свой нос куда не надо!,Mind your own business!,,
Несущие кони [Юкио Мисима],Runaway Horses [Yukio Mishima],,[F] [lit.] 
Нет!,Nope! [coll.],,
Нет дыма без огня.,There is no smoke without fire.,,[proverb] 
Нет проблем!,No problem! <np>,,
Неужели? [в самом деле],Really?,,
Не утруждай себя!,Don't bother!,,
Нефела {ж},Nephele,noun,[myth.] 
Ниагарский водопад {м},Niagara Falls {pl},noun,[geogr.] 
Нигер {м} [государство],Niger <.ne>,noun,[geogr.] 
Нигерия {ж},Nigeria <.ng>,noun,[geogr.] 
Нидерланды {мн},the Netherlands <.nl>,noun,[geogr.] 
Нижняя Саксония {ж},Lower Saxony,noun,[geogr.] 
Ника {ж},Nike,noun,[myth.] 
Никарагуа {ж},Nicaragua <.ni>,noun,[geogr.] 
Никта {ж},Nyx,noun,[myth.] 
Ниоба {ж},Niobe,noun,[myth.] 
"Нить, сотканная из тьмы [Сара Уотерс]",Affinity [Sarah Waters],,[F] [lit.] 
Нихуя себе! [неценз.],Holy fuck! [vulg.] [used to express amazement],,
Ничего! (Всё в порядке!),"Never mind! <NVM, NMD>",,
Ничего! Не беспокойтесь!,Never mind!,,
Ничего не поделаешь.,It can't be helped.,,
Ничего себе!,Wow! [coll.] [expressing astonishment],,
Ничего страшного!,No problem!,,
Новая Гвинея {ж},New Guinea,noun,[geogr.] 
Новогвинейское море {с},Bismarck Sea,noun,[geogr.] 
Новодевичий монастырь {м},Novodevichy Convent,noun,[archi.] [relig.] [UWH] 
Новое платье короля [Ганс Христиан Андерсен],The Emperor's New Clothes [Hans Christian Andersen],,[F] [lit.] 
Новосибирск {м},Novosibirsk,noun,[geogr.] 
Новый Завет {м},New Testament <NT>,noun,[relig.] 
Новый год {м},New Year,noun,
Новый год {м} [новогодний вечер],New Year's Eve,noun,
Ноев ковчег {м},Noah's ark,noun,[bibl.] 
Норвегия {ж},Norway,noun,[geogr.] 
Норвежское море {с},Norwegian Sea,noun,[geogr.] 
Нормандия {ж},Normandy,noun,[geogr.] 
Нормандские острова {мн},Channel Islands <CI>,noun,[geogr.] 
Нортенгерское аббатство [Джейн Остин],Northanger Abbey [Jane Austen],,[F] [lit.] 
Ночной дозор [Сара Уотерс],The Night Watch [Sarah Waters],,[F] [lit.] 
"Ну-ка, спойте что-нибудь!","Come on, give us a song!",,
Нью-Йорк {м} [город],New York City <NYC>,noun,[geogr.] 
Ньюгрейндж {м},Newgrange,noun,[UWH] 
Ньюфаундленд {м},Newfoundland,noun,[geogr.] 
Нюрнберг {м},Nuremberg,noun,[geogr.] 
О́дин {м},Odin,noun,[myth.] [relig.] 
Обещанного три года ждут.,Talk is cheap.,,[proverb] 
"Обжёгшись на молоке, будешь дуть (и) на воду.",A burnt child dreads the fire.,,[proverb] 
Облачный атлас [Дэвид Митчелл],Cloud Atlas [David Mitchell],,[F] [lit.] 
Обманщики [Марсель Карне],Young Sinners [Marcel Carné],,[F] [film] 
Об этом не может быть и речи!,Out of the question!,,
Овен {м} [созвездие и знак зодиака],Aries,noun,[astron.] 
Огниво [Ганс Христиан Андерсен],The Tinder Box [Hans Christian Andersen],,[F] [lit.] 
Огни городской окраины [Аки Каурисмяки],Lights in the Dusk [Aki Kaurismäki],,[F] [film] 
Одиссей {м},Odysseus,noun,[myth.] 
Однажды на Диком Западе [Серджо Леоне],Once Upon a Time in the West [Sergio Leone],,[F] [film] 
Однако ...,"..., though.",conj,
Одну минуту!,Just a moment!,,
Ойагр {м},Oeagrus,noun,[myth.] 
Ойнопион {м},Oenopion,noun,[myth.] 
Океан {м},Oceanus,noun,[myth.] 
Океания {ж},Oceania,noun,[geogr.] 
Оклахома {ж} [штат США],Oklahoma <OK> [Sooner State],noun,[geogr.] 
Октоберфест {м} [народный праздник в Мюнхене],Oktoberfest [annual festival in Munich],noun,
Олимп {м},Mount Olympus,noun,[geogr.] 
Омск {м},Omsk,noun,[geogr.] 
Омфала {ж},Omphale,noun,[myth.] 
"Он, наверно, это сделал.",He must have done it.,,
Он-таки пришёл. [разг.],He has come after all.,,
Она носила жёлтую ленту [Джон Форд],She Wore a Yellow Ribbon [John Ford],,[F] [film] 
Он мне надоел.,I've had enough of him.,,
Он обучает меня французскому (языку).,He teaches me French.,,
Он резко откинул голову назад.,He tossed his head back.,,
Он служил в вооружённых силах.,He has served with the armed forces.,,
Онтарио {ж} [нескл.] [канадская провинция],"Ontario <ON, Ont.> [province in Canada]",noun,[geogr.] 
Онтарио {с} [нескл.] [озеро],Lake Ontario,noun,[geogr.] 
Орфей {м},Orpheus,noun,[myth.] 
Осенняя соната [Ингмар Бергман],Autumn Sonata [Ingmar Bergman],,[F] [film] 
Осетия {ж},Ossetia,noun,[geogr.] 
Осирис {м},Osiris,noun,[myth.] [relig.] 
Осло {м} [нескл.],Oslo,noun,[geogr.] 
Оставь надежду всяк сюда входящий.,"Abandon hope, all ye who enter here.",,[proverb] 
Осторожно! Злая собака!,Beware of the dog!,,
Остров сокровищ [Роберт Льюис Стивенсон ],Treasure Island [Robert Louis Stevenson],,[lit.] [film] 
От добра добра не ищут.,You may go farther and fare worse.,,[idiom] [proverb] 
Оттава {ж},Ottawa,noun,[geogr.] 
Офион {м},Ophion,noun,[myth.] 
Охота на овец [Харуки Мураками],A Wild Sheep Chase [Haruki Murakami],,[F] [lit.] 
Очень приятно!,How do you do?,,
Очень рад.,Pleased to meet you.,,
Очень страшное кино,Scary Movie [Keenen Ivory Wayans],,[F] [film] 
Павел {м},Paul,noun,[name] 
Падение дома Ашеров [Эдгар Аллан По],The Fall of the House of Usher [Edgar Allan Poe],,[F] [lit.] 
Пакистан {м},Pakistan <.pk>,noun,[geogr.] 
Паламед {м},Palamedes,noun,[myth.] 
Палермо {м} [нескл.],Palermo,noun,[geogr.] 
Палестина {ж},Palestine <.ps>,noun,[geogr.] 
Паллант {м},Pallas,noun,[myth.] 
Пан {м},Pan,noun,[myth.] 
Панама {ж},Panama <.pa>,noun,[geogr.] 
Пангея {ж},Pangaea,noun,[geol.] 
Пандора {ж},Pandora,noun,[astron.] [myth.] 
Пандроса {ж},Pandrosus,noun,[myth.] 
Папа {м} (Римский),the Pope,noun,[relig.] 
Парагвай {м},Paraguay,noun,[geogr.] 
Париж {м},Paris,noun,[geogr.] 
Пасха {ж} [в иудаизме],Passover,noun,[relig.] 
Пасха {ж} [в христианстве],Easter,noun,[relig.] 
Патрокл {м},Patroclus,noun,[myth.] 
Пекин {м},Beijing,noun,[geogr.] 
Пелей {м},Peleus,noun,[myth.] 
Пелий {м},Pelias,noun,[myth.] 
Пелоп {м},Pelops,noun,[myth.] 
Пеней {м},Peneus,noun,[myth.] 
Пенелопа {ж},Penelope,noun,[myth.] [name] 
Пенсильвания {ж} [штат США],Pennsylvania <PA>,noun,[geogr.] 
Пентесилея {ж},Penthesilea [also: Penthesileia],noun,[myth.] 
Пенфей {м},Pentheus,noun,[myth.] 
Первая Пуническая война {ж},First Punic War,noun,[hist.] 
Первая мировая война {ж},First World War,noun,[hist.] 
Перестань!,Drop it!,,
Перс {м},Perses,noun,[myth.] 
Персей {м},Perseus,noun,[myth.] 
Персефона {ж},Persephone,noun,[myth.] 
Персия {ж},Persia,noun,[geogr.] [hist.] 
Перт {м} [город в Австралии],Perth,noun,[geogr.] 
Перу {с} {ж},Peru,noun,[geogr.] 
Перун {м},Perun,noun,[myth.] 
Песнь Соломона [Тони Моррисон],Song of Solomon [Toni Morrison],,[F] [lit.] 
Петергоф {м},Peterhof [also: Petergof],noun,[geogr.] [UWH] 
Петроград {м},Petrograd,noun,[geogr.] [hist.] 
Петропавловск-Камчатский {м},Petropavlovsk-Kamchatsky,noun,[geogr.] 
Пизанская башня {ж},Leaning Tower of Pisa,noun,[TrVocab.] 
Пилад {м},Pylades,noun,[myth.] 
Пирей {м},Piraeus,noun,[geogr.] 
Пиренеи {мн},Pyrenees,noun,[geogr.] 
Пиренейский полуостров {м},Iberian Peninsula,noun,[geogr.] 
Питфей {м},Pittheus,noun,[myth.] 
Платон {м},Plato,noun,[hist.] [philos.] 
Плиний {м} Старший,Pliny the Elder,noun,[hist.] [lit.] 
Плутос {м},Plutus,noun,[myth.] 
Повесть о двух городах [Чарльз Диккенс],A Tale of Two Cities [Charles Dickens],,[F] [lit.] 
Погребённый великан [Кадзуо Исигуро],The Buried Giant [Kazuo Ishiguro],,[F] [lit.] 
Подгорица {ж},Podgorica,noun,[geogr.] 
Пожалуйста!,Please!,,
Пожалуйста! [в качестве реакции на ”Спасибо!”],You're welcome!,,
Позволь / позвольте мне ...,Allow me ...,,
Позднее шоу [Роберт Бентон],The Late Show [Robert Benton],,[F] [film] 
Поиски были прекращены.,The search was abandoned.,,
Пойман на месте преступления!,Caught in the act!,,
Пока! [разг.],Bye! [coll.],,
Полинезия {ж},Polynesia,noun,[geogr.] 
Полиник {м},Polynices,noun,[myth.] 
Полит {м},Polites,noun,[myth.] 
Полифем {м},Polyphemus,noun,[myth.] 
Померания {ж},Pomerania,noun,[geogr.] [hist.] 
Помни об этом!,Bear that in mind!,,
Поморская бухта {ж},Pomeranian Bay,noun,[geogr.] 
Помпеи {мн},Pompeii {sg},noun,[archaeo.] [geogr.] [hist.] 
Понт {м},Pontus,noun,[myth.] 
Понятия не имею! [разг.],No idea! [coll.],,
Понятно!,I see!,,
Понятно.,I get it. [coll.],,
Портсмут {м},Portsmouth,noun,[geogr.] 
Португалия {ж},Portugal <.pt>,noun,[geogr.] 
Посейдон {м},Poseidon,noun,[myth.] [relig.] 
Послезавтра [Роланд Эммерих],The Day After Tomorrow [Roland Emmerich],,[F] [film] 
Поспешишь - людей насмешишь.,Haste makes waste.,,[proverb] 
Постояльцы [Сара Уотерс],The Paying Guests [Sarah Waters],,[F] [lit.] 
Постыдился бы!,Shame on you!,,[idiom] 
Потсдамское соглашение {с} [1945],Potsdam Agreement,noun,[hist.] 
Похищение дочерей Левкиппа [Питер Пауль Рубенс],The Rape of the Daughters of Leucippus [Peter Paul Rubens],,[F] [art] 
Похищение из сераля [Вольфганг Амадей Моцарт],The Abduction from the Seraglio [also: Il Seraglio] [Wolfgang Amadeus Mozart],,[F] [mus.] 
Правда?,Really?,,
"Правду говоря, ...","To be honest, ...",,
Прага {ж},Prague,noun,[geogr.] 
Пражская весна {ж},Prague Spring,noun,[hist.] [pol.] 
Пракситель {м},Praxiteles,noun,[art] [hist.] 
Превращение [Франц Ка́фка],The Metamorphosis [Franz Kafka],,[F] [lit.] 
Представляешь? [возглас удивления],Go figure! [esp. Am.],,
Представь себе!,Go figure! [esp. Am.],,
Прекрати!,Stop it!,,
Прекрати это!,Cut it out! [coll.],,
Преображение {с} Господне,Transfiguration of Jesus,noun,[relig.] 
Преступление и наказание [Фёдор Михайлович Достоевский],Crime and Punishment,,[F] [lit.] 
Приам {м},Priam,noun,[myth.] 
Приап {м},Priapus,noun,[myth.] 
Привет!,Hi!,,
Привет! [разг.],Hello!,,
Приказ есть приказ.,Orders are orders.,,[mil.] 
Приносим свои извинения за доставленные неудобства.,We apologise for any inconvenience. [Br.],,
Причастие [Ингмар Бергман],Winter Light [Ingmar Bergman],,[F] [film] 
"Приятного аппетита! [слова официанта, который приносит еду]",Enjoy your meal!,,
Приятно познакомиться.,Pleased to meet you.,,
Прованс {м},Provence,noun,[geogr.] 
Проклятье! [разг.],Damn it! [coll.],,
Прокрида {ж},Procris,noun,[myth.] 
Прокруст {м},Procrustes,noun,[myth.] 
Прометей {м},Prometheus,noun,[myth.] 
Простите!,Excuse me! [as apology],,
"Простите, не расслышал. [Повторите, пожалуйста.]",I beg your pardon?,,
"Простите, не расслышал?",Pardon?,,
"Простите за беспокойство, но...","Sorry to bother you, but...",,
Протей {м},Proteus,noun,[myth.] 
Птерелай {м},Pterelaus,noun,[myth.] 
Птолемеи {мн},Ptolemies [Egyptian dynasty],noun,[hist.] 
Путь к сердцу мужчины лежит через желудок.,The way to a man's heart is through his stomach.,,[proverb] 
Пьемонт {м},Piedmont,noun,[geogr.] 
Пётр {м},Peter,noun,[name] 
Рабат {м},Rabat,noun,[geogr.] 
Рад (с Вами) познакомиться!,Nice to meet you.,,
Рад (с Вами) познакомиться.,Pleased to meet you.,,
Ради бога!,For God's sake!,,
Рак {м} [созвездие и знак зодиака],Cancer,noun,[astron.] 
Ракий {м},Rhacius,noun,[myth.] 
Рейкьявик {м},Reykjavík,noun,[geogr.] 
Рес {м},Rhesus (of Thrace),noun,[myth.] 
Республика {ж} Татарстан,Republic of Tatarstan,noun,[geogr.] 
Рея {ж},Rhea,noun,[astron.] [myth.] 
Рим {м},Rome,noun,[geogr.] 
Римская империя {ж},Roman Empire,noun,[hist.] 
Рио-де-Жанейро {м} [нескл.],Rio de Janeiro,noun,[geogr.] 
Родезия {ж},Rhodesia,noun,[geogr.] [hist.] 
Рождество {с},Christmas,noun,[relig.] 
Рождество {с} Христово [само рождение],the Nativity,noun,[relig.] 
Ромул и Рем,Romulus and Remus,noun,[myth.] 
Россия {ж},Russia <.ru>,noun,[geogr.] 
Руанда {ж},Rwanda <.rw>,noun,[geogr.] 
Руки вверх!,Hands up!,,
Румыния {ж},Romania <.ro>,noun,[geogr.] 
Румыния {ж},Rumania <.ro> [spv.],noun,[geogr.] 
Русалочка [Ганс Христиан Андерсен],The Little Mermaid [Hans Christian Andersen],,[myth.] 
Рыбак рыбака видит издалека.,Birds of a feather flock together.,,[idiom] [proverb] 
Рыбы {мн} [созвездие и знак зодиака],Pisces,noun,[astron.] 
Рюриковичи {мн},Rurikids [Russian dynasty],noun,[hist.] 
С Новым годом!,Happy New Year!,,
С Рождеством!,Merry Christmas!,,
С Рождеством Христовым!,Merry Christmas!,,
Саксония-Анхальт {ж},Saxony-Anhalt,noun,[geogr.] 
Саксония {ж},Saxony,noun,[geogr.] 
Саксонская Швейцария {ж},Saxon Switzerland,noun,[geogr.] 
Салмоней {м},Salmoneus,noun,[myth.] 
Самарканд {м},Samarqand,noun,[geogr.] 
Самсон {м},Samson,noun,[bibl.] [name] 
Сан-Марино {с} [нескл.],San Marino <.sm>,noun,[geogr.] 
Сан-Франциско {м} [нескл.],San Francisco,noun,[geogr.] 
Санкт-Петербург {м},Saint Petersburg,noun,[geogr.] 
Сараево {с},Sarajevo,noun,[geogr.] 
Саргассово море {с},Sargasso Sea,noun,[geogr.] 
Сардиния {ж},Sardinia,noun,[geogr.] 
Сарпедон {м},Sarpedon,noun,[myth.] 
Саудовская Аравия {ж},Saudi Arabia,noun,[geogr.] 
Саутгемптон {м},Southampton,noun,[geogr.] 
Саха́ра {ж},Sahara,noun,[geogr.] 
Сахара {ж},the Sahara,noun,[geogr.] 
Сахура {м} [фараон из V династии],Sahure [also: Sahura] [pharaoh of the 5th dynasty],noun,[hist.] 
Свазиленд {м},Swaziland <.sz>,noun,[geogr.] 
С возвращением!,Welcome back! <WB>,,
Связь,Touch,,[F] [RadioTV] 
Сдачи не надо.,Keep the change.,,
Северная Америка {ж},North America,noun,[geogr.] 
Северная Англия {ж},Northern England [also: northern England],noun,[geogr.] 
Северная Атлантика {ж},North Atlantic,noun,[geogr.] 
Северная Германия {ж},North Germany,noun,[geogr.] 
Северная Голландия {ж},North Holland,noun,[geogr.] 
Северная Дакота {ж} [штат США],"North Dakota <ND> [Peace Garden State, Sioux State]",noun,[geogr.] 
Северная Ирландия {ж},Northern Ireland,noun,[geogr.] 
Северная Италия {ж},Upper Italy,noun,[geogr.] 
Северная Каролина {ж} [штат США],North Carolina <NC> [Tar Heel State],noun,[geogr.] 
Северная Корона {ж},Corona Borealis,noun,[astron.] 
Северная Македония {ж},North Macedonia,noun,[geogr.] 
Северная Осетия {ж},North Ossetia,noun,[geogr.] 
Северное море {с},North Sea,noun,[geogr.] 
Северный Ледовитый океан {м},Arctic Ocean,noun,[geogr.] 
Северный Рейн-Вестфалия {м},North Rhine-Westphalia,noun,[geogr.] 
Северный полюс {м},North Pole,noun,[geogr.] 
Северный полярный круг {м},Arctic Circle,noun,[geogr.] 
Седьмая печать [Ингмар Бергман],The Seventh Seal [Ingmar Bergman],,[F] [film] 
Сейчас он должен быть там.,He should be there now.,,
Селена {ж},Selene,noun,[myth.] 
Семела {ж},Semele,noun,[myth.] 
Семерхет {м} [фараон I династии],Semerkhet [pharaoh of the 1st dynasty],noun,[hist.] 
Семилетняя война {ж},Seven Years' War,noun,[hist.] 
"Семь раз отмерь, один раз отрежь.",Look before you leap.,,[idiom] [proverb] 
Сенегал {м},Senegal <.sn>,noun,[geogr.] 
Сент-Питерсберг {м},Saint Petersburg [Florida],noun,[geogr.] 
Сердечное спасибо!,Cordial thanks!,,
Сердце дракона [Роб Коэн],Dragonheart [Rob Cohen],,[F] [film] 
Сердце тьмы [Джозеф Конрад],Heart of Darkness [Joseph Conrad],,[F] [lit.] 
Сестра Керри [Теодор Драйзер],Sister Carrie [Theodore Dreiser ],,[lit.] 
Сеул {м},Seoul,noun,[geogr.] 
Сибирь {ж},Siberia,noun,[geogr.] 
Сидеро {ж},Sidero,noun,[myth.] 
Сидней {м},Sydney,noun,[geogr.] 
Сизиф {м},Sisyphus,noun,[myth.] 
Сикстинская капелла {ж},Sistine Chapel,noun,[archi.] [relig.] 
Сингапур {м},Singapore <.sg>,noun,[geogr.] 
Сирия {ж},Syria,noun,[geogr.] 
Сицилия {ж},Sicily,noun,[geogr.] 
Скажи мне ...,Tell me ...,,
Скандинавия {ж},Scandinavia,noun,[geogr.] 
Скатертью дорога / дорожка! [разг.],Good riddance! [coll.],,[idiom] 
Сколько тебе лет?,How old are you?,,
Скорая помощь,ER,,[F] [RadioTV] 
Скорпион {м} [знак зодиака],Scorpio,noun,
Скорпион {м} [созвездие],Scorpius,noun,[astron.] 
Скрижали {мн} Завета,Tablets of Stone,noun,[bibl.] [relig.] 
Слава Богу!,Thank God!,,
Слава Украине! [украинское патриотическое приветствие],Glory to Ukraine! [Ukrainian patriotic salute],,[pol.] 
Сладких снов!,Sweet dreams!,,
Сладость или гадость!,Trick or treat!,,[idiom] 
Слезами горю не поможешь.,It's no use crying over spilt milk.,,[proverb] 
Словакия {ж},Slovakia <.sk>,noun,[geogr.] 
Словения {ж},Slovenia <.si>,noun,[geogr.] 
Слушаю. [у телефона],Speaking. [on the phone],,
Слышь! [разг.],Listen!,,
Сменхкара {м} [фараон из XVIII династии],"Smenkhkare [also: Smenkhare, Smenkare or Smenkhkara] [pharaoh of the 18th dynasty]",noun,[hist.] 
Смерть Марата [Жак-Луи Давид],The Death of Marat [Jacques-Louis David],,[F] [art] 
Смерть на Ниле [Агата Кристи],Death on the Nile [Agatha Christie],,[F] [lit.] 
Смоленск {м},Smolensk,noun,[geogr.] 
Смурфики,The Smurfs,,[F] [lit.] [RadioTV] 
